17 Nov 19,KINGS TUN CD 7420,DEB,56.60,2347.44
18 Nov 19,LNK COOPERATIVE SW CD 7420 17NOV19,CPT,170.00,2177.44
19 Nov 19,WESTERN VILLA CD7420,DEB,185.60,1991.84
19 Nov 19,P ADAMCZUK KASA,TFR,210.00,1781.84
22 Nov 19,BEDFORD TAVERN CD 7420,DEB,198.00,1583.84
23 Nov19,MCDONALDS DC 7420,DEB,16.34,1567.05
26 Nov 19,KATE EYR G D LTD KEGD,FPI,960.00,2527.05
27 Nov19,LNK WEST NORWOOD 1 CD 7420 27NOV19,CPT,70.00,2457.05
28 Nov 19,DELIGHT CD 7420,DEB,133.45,2324.05
29 Nov 19,Amazon UK Marketpl CD 7420,DEB,262.00,2062.05
